TimeStamp,XAccel,YAccel,ZAccel
30273,1039,2271,1244
30913,776,2389,1284
31553,813,2471,1346
32193,1269,2374,1456
32833,1413,2434,1522
33473,1302,2538,1496
34113,1076,2573,1491
34753,939,2326,1632
35393,1016,2283,1785
36033,1038,2362,1776
36673,995,2331,1666
37313,1039,2376,1576
37953,1110,2446,1531
38593,1130,2473,1593
39233,1069,2382,1680
39873,997,2318,1720
40513,1026,2311,1716
41153,1069,2341,1695
41793,1109,2380,1652
42433,1101,2385,1638
43073,1072,2394,1647
43713,1057,2359,1671
44353,1055,2335,1692
44993,1063,2327,1702
45633,1057,2361,1689
46273,1048,2367,1711
46913,1027,2388,1717
47553,1099,2554,1732
48193,1023,2348,1718
48833,1040,2351,1758
49473,1022,2388,1731
50113,1016,2365,1798
50753,974,2328,1793
51393,1000,2456,1805
52033,973,2348,1735
52673,983,2370,1733
53313,1000,2404,1712
53953,1025,2430,1668
54593,986,2391,1719
55233,991,2398,1718
55873,952,2450,1711
56513,950,2400,1744
57153,1019,2497,1716
57793,1080,2535,1665
58433,1105,2518,1655
59073,1134,2531,1684
59713,1088,2525,1675
60353,973,2507,1763
60993,946,2480,1815
61633,960,2445,1753
62273,1010,2449,1628
62913,1031,2509,1535
63553,1091,2488,1519
64193,1167,2418,1556
64833,1167,2411,1550
65473,1174,2448,1534
577,1209,2433,1490
1217,1215,2443,1479
1857,1213,2434,1473
2497,1234,2448,1464
3137,1222,2413,1425
3777,1204,2391,1413
4417,1175,2366,1391
5057,1168,2364,1370
5697,1135,2393,1322
6337,1082,2338,1283
6977,1072,2315,1257
7617,1057,2345,1241
8257,1056,2337,1238
8897,1043,2338,1258
9537,1117,2286,1281
10177,1187,2300,1279
10817,1195,2262,1264
11457,1176,2348,1290
12097,1225,2404,1275
12737,1173,2433,1252
13377,1019,2393,1289
14017,966,2371,1348
14657,1108,2289,1411
15297,1248,2258,1524
15937,1253,2349,1436
16577,1060,2343,1430
17217,1006,2413,1542
17857,1056,2448,1644
18497,1102,2393,1698
19137,1099,2411,1670
19777,1007,2346,1693
20417,987,2341,1730
21057,1011,2372,1717
21697,1047,2430,1718
22337,1052,2427,1725
22977,1047,2448,1703
23617,1035,2424,1693
24257,1080,2354,1722
24897,1104,2342,1732
25537,1084,2329,1731
26177,1076,2325,1738
26817,1057,2389,1705
27457,1015,2423,1654
28097,1016,2447,1719
28737,1044,2402,1717
29377,1055,2354,1730
30017,1046,2364,1685
30657,1065,2394,1677
31297,1060,2392,1715
31937,1085,2381,1723
32577,1057,2392,1710
33217,1064,2401,1669
33857,1061,2422,1647
34497,1043,2371,1649
35137,1073,2388,1614
35777,1049,2307,1618
36417,1035,2305,1569
37057,1059,2332,1584
37697,915,2341,1831
38337,813,2483,1877
38977,842,2399,1760
39617,1088,2542,1660
40257,1186,2655,1595
40897,1123,2654,1568
41537,968,2471,1758
42177,885,2304,1832
42817,890,2335,1762
43457,900,2480,1656
44097,1010,2527,1556
44737,1135,2512,1572
45377,1161,2504,1528
46017,1163,2466,1530
46657,1161,2454,1512
47297,1199,2455,1531
47937,1187,2427,1556
48577,1177,2419,1549
49217,1137,2426,1480
49857,1126,2435,1439
50497,1138,2440,1435
51137,1143,2388,1414
51777,1126,2351,1357
52417,1145,2350,1327
53057,1107,2306,1289
53697,1126,2248,1303
54337,1182,2284,1332
54977,1225,2330,1335
55617,1180,2347,1346
56257,1119,2344,1335
56897,1111,2325,1274
57537,1118,2301,1245
58177,1113,2317,1179
58817,1136,2293,1167
59457,1215,2286,1250
60097,1226,2226,1288
60737,1217,2214,1329
61377,1070,2390,1436
62017,640,2689,1355
62657,675,2461,1321
63297,1137,2197,1454
63937,1648,2551,1542
64577,1474,2698,1502
65217,877,2407,1635
321,824,2239,1680
961,1040,2350,1706
1601,1022,2258,1690
2241,1028,2354,1579
2881,1074,2440,1508
3521,1105,2431,1545
4161,1017,2365,1673
4801,997,2297,1697
5441,1010,2319,1679
6081,1066,2338,1688
6721,1109,2361,1678
7361,1121,2383,1651
8001,1080,2392,1683
8641,1033,2398,1693
9281,1067,2361,1671
9921,1073,2309,1704
10561,1084,2292,1735
11201,1059,2302,1742
11841,1038,2331,1770
12481,1016,2387,1793
13121,1026,2408,1763
13761,1074,2434,1771
14401,1070,2450,1773
15041,1064,2430,1830
15681,1075,2426,1813
16321,1029,2454,1824
16961,1011,2461,1771
17601,1012,2394,1782
18241,1010,2388,1808
18881,1004,2414,1749
19521,1003,2430,1687
20161,1015,2423,1648
20801,1032,2380,1670
21441,882,2360,1807
22081,796,2423,1884
22721,941,2441,1786
23361,1157,2569,1717
24001,1244,2672,1754
24641,1235,2719,1704
25281,1010,2589,1751
25921,845,2385,1830
26561,803,2355,1742
27201,905,2427,1667
27841,1028,2555,1561
28481,1128,2517,1517
29121,1194,2483,1475
29761,1177,2447,1478
30401,1190,2379,1532
31041,1225,2395,1473
31681,1257,2391,1483
32321,1273,2421,1454
32961,1248,2421,1426
33601,1242,2436,1383
34241,1208,2443,1388
34881,1226,2441,1355
35521,1197,2386,1359
36161,1158,2363,1308
36801,1094,2340,1256
37441,1107,2328,1239
38081,1165,2279,1214
38721,1150,2283,1220
39361,1141,2306,1265
40001,1077,2298,1296
40641,1044,2304,1262
41281,1067,2311,1213
41921,1152,2328,1203
42561,1259,2364,1193
43201,1320,2370,1213
43841,1274,2375,1242
44481,1011,2541,1250
45121,660,2582,1226
45761,724,2315,1317
46401,1180,2097,1516
47041,1542,2380,1630
47681,1486,2756,1474
48321,1132,2596,1508
48961,794,2173,1757
49601,951,2246,1825
50241,1056,2345,1845
50881,1066,2382,1619
51521,1074,2489,1476
52161,1107,2435,1584
52801,1092,2393,1717
53441,1034,2364,1738
54081,1004,2340,1724
54721,1043,2341,1728
55361,1075,2373,1697
56001,1084,2388,1679
56641,1070,2402,1684
57281,1047,2411,1718
57921,1077,2391,1737
58561,1078,2372,1763
59201,1059,2401,1750
59841,1041,2374,1769
60481,1060,2404,1777
61121,1073,2427,1769
61761,1095,2419,1780
62401,1080,2415,1792
63041,1063,2466,1785
63681,1021,2412,1784
64321,1034,2424,1795
64961,1040,2447,1766
65,1054,2421,1766
705,1042,2368,1783
1345,1047,2367,1788
1985,1078,2376,1775
2625,1059,2398,1709
3265,1044,2402,1665
3905,1032,2377,1658
4545,1093,2471,1874
5185,683,2411,1884
5825,854,2463,1825
6465,1112,2579,1690
7105,1223,2644,1714
7745,1270,2707,1713
8385,1170,2644,1696
9025,934,2502,1714
9665,792,2412,1800
10305,834,2375,1669
10945,920,2532,1639
11585,1050,2554,1595
12225,1173,2557,1547
12865,1154,2515,1495
13505,1165,2438,1500
14145,1205,2429,1511
14785,1240,2422,1525
15425,1259,2427,1492
16065,1260,2428,1484
16705,1215,2437,1429
17345,1218,2401,1386
17985,1233,2397,1352
18625,1201,2398,1328
19265,1165,2335,1341
19905,1102,2256,1290
20545,1050,2243,1226
21185,1081,2277,1240
21825,1147,2357,1318
22465,1151,2385,1377
23105,1130,2414,1378
23745,1181,2417,1320
24385,1149,2430,1251
25025,1149,2419,1184
25665,1097,2401,1188
26305,1033,2358,1237
26945,946,2336,1304
27585,1010,2343,1242
28225,1093,2294,1264
28865,1298,2273,1386
29505,1343,2448,1403
30145,1255,2471,1387
30785,1097,2429,1474
31425,1045,2559,1477
32065,1036,2481,1628
32705,1093,2386,1669
33345,1138,2379,1705
33985,1041,2350,1790
34625,997,2266,1787
35265,1022,2354,1722
35905,1096,2495,1703
36545,1093,2472,1690
37185,1069,2458,1694
37825,1034,2437,1762
38465,1052,2353,1781
39105,1052,2321,1812
39745,1078,2339,1786
40385,1055,2368,1798
41025,1065,2408,1752
41665,1102,2451,1722
42305,1115,2482,1727
42945,1066,2473,1759
43585,1071,2456,1789
44225,1071,2391,1808
44865,1056,2371,1821
45505,1025,2426,1805
46145,1033,2419,1817
46785,1037,2411,1804
47425,1017,2459,1810
48065,1036,2423,1828
48705,1049,2412,1834
49345,1008,2414,1820
49985,1007,2426,1747
50625,1038,2441,1728
51265,1070,2494,1688
51905,991,2413,1775
52545,847,2425,1852
53185,790,2398,1814
53825,1045,2489,1702
54465,1144,2612,1658
55105,1241,2710,1712
55745,1231,2692,1660
56385,1155,2582,1740
57025,987,2526,1797
57665,900,2488,1755
58305,880,2455,1736
58945,959,2452,1595
59585,1068,2438,1571
60225,1133,2489,1572
60865,1199,2530,1544
61505,1225,2494,1529
62145,1269,2508,1529
62785,1268,2517,1515
63425,1222,2517,1499
64065,1188,2499,1463
64705,1179,2475,1428
65345,1173,2475,1423
449,1180,2463,1390
1089,1164,2393,1351
1729,1120,2347,1322
2369,1144,2314,1284
3009,1164,2318,1295
3649,1199,2341,1304
4289,1168,2331,1323
4929,1158,2351,1334
5569,1114,2387,1337
6209,1111,2405,1320
6849,1101,2390,1300
7489,1098,2342,1235
8129,1096,2337,1206
8769,1163,2366,1204
9409,1195,2392,1291
10049,1174,2366,1340
10689,1102,2379,1327
11329,1036,2513,1473
11969,857,2603,1436
12609,900,2446,1449
13249,1219,2322,1521
13889,1451,2554,1615
14529,1211,2605,1684
15169,901,2285,1707
15809,980,2291,1745
16449,1093,2445,1722
17089,1052,2423,1626
17729,1081,2457,1567
18369,1123,2469,1656
19009,1079,2352,1732
19649,1025,2315,1753
20289,1062,2342,1778
20929,1075,2375,1809
21569,1081,2432,1767
22209,1066,2428,1781
22849,1091,2456,1728
23489,1094,2413,1735
24129,1061,2377,1766
24769,1076,2362,1789
25409,1079,2355,1781
26049,1073,2387,1758
26689,1049,2417,1742
27329,1090,2406,1765
27969,1109,2420,1790
28609,1091,2446,1785
29249,1057,2451,1780
29889,1042,2410,1809
30529,1062,2419,1810
31169,1062,2455,1831
31809,1034,2470,1749
32449,1050,2390,1762
33089,1011,2378,1798
33729,1025,2422,1791
34369,1017,2448,1684
35009,1009,2415,1638
35649,917,2350,1647
36289,850,2356,1823
36929,859,2423,1864
37569,908,2476,1820
38209,1065,2589,1670
38849,1259,2630,1639
39489,1327,2655,1717
40129,1165,2562,1734
40769,927,2409,1735
41409,803,2383,1703
42049,831,2454,1600
42689,988,2486,1533
43329,1154,2508,1515
43969,1213,2515,1495
44609,1166,2442,1454
45249,1222,2403,1469
45889,1228,2363,1478
46529,1261,2412,1434
47169,1263,2410,1433
47809,1231,2425,1416
48449,1205,2421,1374
49089,1190,2439,1388
49729,1193,2399,1332
50369,1158,2359,1300
51009,1134,2335,1250
51649,1174,2309,1231
52289,1188,2257,1239
52929,1222,2287,1252
53569,1169,2313,1332
54209,1158,2375,1341
54849,1122,2356,1330
55489,1102,2335,1279
56129,1121,2350,1237
56769,1103,2345,1170
57409,1128,2344,1154
58049,1172,2359,1255
58689,1149,2387,1278
59329,999,2417,1270
59969,770,2439,1242
60609,833,2353,1492
61249,1255,2353,1535
61889,1400,2431,1646
62529,1365,2701,1544
63169,1072,2624,1612
63809,992,2335,1686
64449,1072,2336,1714
65089,1011,2331,1761
193,962,2304,1669
833,1004,2314,1611
1473,1104,2372,1604
2113,1106,2435,1695
2753,1091,2468,1718
3393,1049,2447,1721
4033,1064,2404,1728
4673,1051,2379,1787
5313,1055,2403,1754
5953,1065,2431,1734
6593,1112,2424,1741
7233,1074,2460,1748
7873,1058,2383,1761
8513,1046,2372,1763
9153,1047,2342,1775
9793,1025,2369,1789
10433,1054,2419,1794
11073,1065,2411,1795
11713,1061,2427,1792
12353,1035,2461,1784
12993,1023,2446,1748
13633,1029,2381,1762
14273,1042,2364,1779
14913,1041,2419,1795
15553,1069,2400,1716
16193,1082,2380,1717
16833,1058,2393,1693
17473,1016,2382,1702
18113,1004,2365,1724
18753,950,2359,1716
19393,866,2378,1801
20033,789,2519,1884
20673,1008,2652,1737
21313,1202,2671,1728
21953,1311,2687,1757
22593,1155,2597,1795
23233,994,2387,1828
23873,866,2331,1796
24513,920,2341,1697
25153,967,2538,1595
25793,1043,2614,1549
26433,1114,2589,1565
27073,1155,2548,1551
27713,1191,2480,1528
28353,1208,2414,1552
28993,1222,2397,1511
29633,1194,2427,1518
